song_id,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),0.596,0.658,0,-7.346,1,0.036,0.0504,0.0,0.127,0.176,100.012,229478,4
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690,4
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),0.663,0.67,8,-8.399,1,0.271,0.0464,8.92e-05,0.205,0.138,136.952,260111,4
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92,247444,4
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),0.645,0.729,2,-4.56,1,0.0528,0.0377,0.0,0.384,0.142,146.01,319192,4
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",0.522,0.641,8,-6.287,1,0.0318,0.0545,0.0,0.162,0.202,87.51,244685,4
7MXVkk9YMctZqd1Srtv4MB,Starboy,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453,4
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,0.855,0.678,1,-6.276,1,0.189,0.0569,3.69e-05,0.412,0.852,99.029,215467,4
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4
0BxE4FqsDD1Ot4YuBXwAPp,505,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,253587,4
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4
3bH2Eu9A9ymI4UnGHRmoXg,Merry Christmas,0.594,0.935,0,-2.018,1,0.0357,0.243,2.36e-06,0.102,0.602,113.99,208547,4
0tgVpDi06FyKpA1z0VMD4v,Perfect,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3
7qiZfU4dY1lWllzX7mPBI3,Shape of You,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4
4EWCNWgDS8707fNSZ1oaA5,Heartless,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,211000,4
5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,237507,4
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,135920,4
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,4
561jH07mF1jHuk7KlaeF0s,Mockingbird,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,250760,4
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,4
2FDTHlrBguDzQkp7PVj16Q,Sprinter,0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,226383,4
6j3wDNKqEeZ6QwPtCcpJX8,Stop Giving Me Advice (with Jack Harlow & Dave),0.641,0.681,6,-4.888,0,0.283,0.504,2.69e-05,0.103,0.896,101.429,242453,4
3z4CGd63tpUn9a6oQSG0CI,Location (feat. Burna Boy),0.812,0.496,9,-5.969,0,0.297,0.271,0.0,0.0955,0.55,109.979,241293,4
0U10zFw4GlBacOy9VDGfGL,We Found Love,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,215227,4
7i0jaBLpIADxqNbhAb4XFb,Diamonds,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,225147,4
49FYlytm3dAAraYgpoJZux,Umbrella,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,275987,4
3OHfY25tqY28d16oZczHc8,Kill Bill,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,153947,4
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800,4
1Ist6PR2BZR3n2z2Y5R6S1,Summertime Sadness,0.566,0.647,1,-6.815,0,0.0335,0.0477,0.0,0.121,0.22,111.96,264773,4
6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,0.49,0.352,6,-11.577,0,0.0254,0.709,0.0856,0.114,0.166,99.992,209156,4
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,236053,4
