,artist_name,artist_id,playlist_song,country,artist_uri
0,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Is It Over Now? (Taylor's Version) (From The Vault),GB,spotify:artist:06HL4z0CvFAxyc27GXpf02
1,Drake,3TVXtAsR1Inumwj472S9r4,Slime You Out (feat. SZA),GB,spotify:artist:3TVXtAsR1Inumwj472S9r4
2,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,GB,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
3,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Snap Out Of It,GB,spotify:artist:7Ln80lUS6He07XvHI8qqHH
4,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Eyes Closed,GB,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
5,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Stronger,GB,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
6,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Lose Yourself,GB,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
7,Dave,6Ip8FS7vWT1uKkJSweANQK,UK Rap,GB,spotify:artist:6Ip8FS7vWT1uKkJSweANQK
8,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Diamonds,GB,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
9,SZA,7tYKF4w9nC0nq9CsPZTHyP,Kill Bill,GB,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
10,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Say Yes To Heaven,GB,spotify:artist:00FQb4jTyendYWaN8pK0wa
11,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Cinema,GB,spotify:artist:6KImCVD70vtIoJWnq6nGn3
12,Central Cee,5H4yInM5zmHqpKIoMNAx4r,LET GO,GB,spotify:artist:5H4yInM5zmHqpKIoMNAx4r
13,D-Block Europe,5VadK1havLhK1OpKYsXv9y,Pakistan,GB,spotify:artist:5VadK1havLhK1OpKYsXv9y
14,Beyoncé,6vWDO969PvNqNYHIOW5v0m,CUFF IT,GB,spotify:artist:6vWDO969PvNqNYHIOW5v0m
15,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,I KNOW ?,GB,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
16,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Miracle (with Ellie Goulding),GB,spotify:artist:7CajNmpbOovFoOoasH2HaY
17,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,I'm Good (Blue),GB,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
18,Post Malone,246dkjvS1zLTtiykXe5h60,Chemical,GB,spotify:artist:246dkjvS1zLTtiykXe5h60
19,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"What Was I Made For? [From The Motion Picture ""Barbie""]",GB,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
20,21 Savage,1URnnhqYAYcrqrcwql10ft,Glock In My Lap,GB,spotify:artist:1URnnhqYAYcrqrcwql10ft
21,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,vampire,GB,spotify:artist:1McMsnEElThX1knmY4oliG
22,Future,1RyvyyTE3xzB2ZywiAwp0i,WAIT FOR U (feat. Drake & Tems),GB,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
23,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,My Universe,GB,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
24,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Summer Too Hot,GB,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
25,Adele,4dpARuHxo51G3z768sgnrY,Easy On Me,GB,spotify:artist:4dpARuHxo51G3z768sgnrY
26,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Forget Me,GB,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
