,playlist_position,artist_name,artist_id,country,artist_uri,location,artist_genre1,artist_genre2,artist_genre3
0,1,Taylor Swift,06HL4z0CvFAxyc27GXpf02,GB,spotify:artist:06HL4z0CvFAxyc27GXpf02,"Nashville, Tennessee, US",pop,,
1,2,Drake,3TVXtAsR1Inumwj472S9r4,GB,spotify:artist:3TVXtAsR1Inumwj472S9r4,"Toronto,Ontario, Canada",canadian hip hop,canadian pop,hip hop
2,3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,GB,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,"Toronto,Ontario, Canada",canadian contemporary r&b,canadian pop,pop
3,4,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,GB,spotify:artist:7Ln80lUS6He07XvHI8qqHH,"Sheffield, England",garage rock,modern rock,permanent wave
4,5,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,GB,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,"Halifax,West Yorkshire, England",pop,singer-songwriter pop,uk pop
5,6,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,GB,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,"Chicago,Illinois, U.S.",chicago rap,hip hop,rap
6,7,Eminem,7dGJo4pcD2V6oG8kP0tJRR,GB,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,"Detroit,Michigan, U.S.",detroit hip hop,hip hop,rap
7,8,Dave,6Ip8FS7vWT1uKkJSweANQK,GB,spotify:artist:6Ip8FS7vWT1uKkJSweANQK,"Brixton, London, England",uk hip hop,,
8,9,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,GB,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,"Saint Michael, Barbados",barbadian pop,pop,urban contemporary
9,10,SZA,7tYKF4w9nC0nq9CsPZTHyP,GB,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,"Maplewood, New Jersey, U.S.",pop,r&b,rap
10,11,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,GB,spotify:artist:00FQb4jTyendYWaN8pK0wa,"New York City, U.S.",art pop,pop,
11,12,Harry Styles,6KImCVD70vtIoJWnq6nGn3,GB,spotify:artist:6KImCVD70vtIoJWnq6nGn3,"Holmes Chapel, England",pop,,
12,13,Central Cee,5H4yInM5zmHqpKIoMNAx4r,GB,spotify:artist:5H4yInM5zmHqpKIoMNAx4r,"Ladbroke Grove,London, England",melodic drill,r&drill,
13,14,D-Block Europe,5VadK1havLhK1OpKYsXv9y,GB,spotify:artist:5VadK1havLhK1OpKYsXv9y,"Lewisham, London, England",melodic drill,uk hip hop,
14,15,Beyoncé,6vWDO969PvNqNYHIOW5v0m,GB,spotify:artist:6vWDO969PvNqNYHIOW5v0m,"Houston, Texas, U.S.",pop,r&b,
15,16,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,GB,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,"Houston, Texas, U.S.",hip hop,rap,slap house
16,17,Calvin Harris,7CajNmpbOovFoOoasH2HaY,GB,spotify:artist:7CajNmpbOovFoOoasH2HaY,"Dumfries, Scotland",dance pop,edm,electro house
17,18,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,GB,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,"Paris, France",big room,dance pop,edm
18,19,Post Malone,246dkjvS1zLTtiykXe5h60,GB,spotify:artist:246dkjvS1zLTtiykXe5h60,"Los Angeles,California, U.S.",dfw rap,melodic rap,pop
19,20,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,GB,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,"Los Angeles, California, U.S.",art pop,pop,
20,21,21 Savage,1URnnhqYAYcrqrcwql10ft,GB,spotify:artist:1URnnhqYAYcrqrcwql10ft,"Atlanta,Georgia, U.S.",atl hip hop,hip hop,rap
21,22,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,GB,spotify:artist:1McMsnEElThX1knmY4oliG,"Murrieta, California, U.S.",pop,,
22,23,Future,1RyvyyTE3xzB2ZywiAwp0i,GB,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,"Atlanta, Georgia, U.S.",atl hip hop,hip hop,rap
23,24,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,GB,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,"London, England",permanent wave,pop,
24,25,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,GB,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,"Tappahannock, Virginia, U.S.",r&b,rap,
25,26,Adele,4dpARuHxo51G3z768sgnrY,GB,spotify:artist:4dpARuHxo51G3z768sgnrY,"London, England",british soul,pop,pop soul
26,27,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,GB,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,"Glasgow, Scotland",pop,uk pop,
27,28,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,GB,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,"St. Louis,Missouri, U.S.",rap,,
28,29,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,GB,spotify:artist:5YGY8feqx7naU7z4HrwZM6,"Franklin, Tennessee, U.S.",pop,,
29,30,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,GB,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,"Compton, California, U.S.",conscious hip hop,hip hop,rap
30,31,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,GB,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,"Boca Raton, Florida, U.S.",pop,,
31,32,Lil Baby,5f7VJjfbwm532GiveGC0ZK,GB,spotify:artist:5f7VJjfbwm532GiveGC0ZK,"Atlanta, Georgia, U.S.",atl hip hop,atl trap,rap
32,33,Oasis,2DaxqgrOhkeH0fpeiQq2f4,GB,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,"Manchester, England",beatlesque,britpop,madchester
33,34,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,GB,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,"Homewood, Illinois, U.S.",chicago rap,melodic rap,rap
34,35,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,GB,spotify:artist:08GQAI4eElDnROBrJRGE0X,"London, England",album rock,classic rock,rock
35,36,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,GB,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,"Los Angeles, California, U.S.",dance pop,pop,
