,artist,song_name,song_id,release_date,release_date_precision,popularity
0,Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,2019-08-23,day,99
1,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,2023-10-26,day,93
2,Taylor Swift,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,2022-10-21,day,92
3,Drake,IDGAF (feat. Yeat),2YSzYUF3jWqb9YP9VXmpjE,2023-10-06,day,92
4,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,2023-10-06,day,92
5,Drake,First Person Shooter (feat. J. Cole),7aqfrAY2p9BUSiupwk3svU,2023-10-06,day,90
6,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,2023-06-23,day,97
7,The Weeknd,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,6WzRpISELf3YglGAh7TXcG,2023-06-02,day,95
8,The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB,2016-11-25,day,94
9,Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,2013-09-09,day,96
10,Arctic Monkeys,505,0BxE4FqsDD1Ot4YuBXwAPp,2007-04-22,day,88
11,Arctic Monkeys,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,2013-09-09,day,91
12,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,2017-03-03,day,90
13,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,2017-03-03,day,89
14,Ed Sheeran,Photograph,3FSPaBp49Clqq2p4zc9dbA,2013,year,57
15,Kanye West,Heartless,4EWCNWgDS8707fNSZ1oaA5,2008-11-24,day,91
16,Kanye West,Flashing Lights,5TRPicyLGbAF2LGBFbHGvO,2007-09-11,day,90
17,Kanye West,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,2016-06-10,day,90
18,Eminem,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,2002-05-26,day,91
19,Eminem,Mockingbird,561jH07mF1jHuk7KlaeF0s,2004-11-12,day,91
20,Eminem,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,2000-05-23,day,90
21,Dave,Sprinter,2FDTHlrBguDzQkp7PVj16Q,2023-06-01,day,90
22,Dave,Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,2019-03-08,day,80
23,Dave,Stop Giving Me Advice (with Jack Harlow & Dave),6j3wDNKqEeZ6QwPtCcpJX8,2023-12-08,day,80
24,Rihanna,We Found Love,0U10zFw4GlBacOy9VDGfGL,2011-11-19,day,82
25,Rihanna,Diamonds,7i0jaBLpIADxqNbhAb4XFb,2012-12-10,day,78
26,Rihanna,Umbrella,49FYlytm3dAAraYgpoJZux,2008-06-02,day,86
27,SZA,Kill Bill,3OHfY25tqY28d16oZczHc8,2022-12-09,day,86
28,SZA,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,2022-12-09,day,93
29,SZA,Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,2023-10-06,day,92
30,Lana Del Rey,Summertime Sadness,1Ist6PR2BZR3n2z2Y5R6S1,2012-01-01,day,79
31,Lana Del Rey,Say Yes To Heaven,6GGtHZgBycCgGBUhZo81xe,2023-05-19,day,90
32,Lana Del Rey,Young And Beautiful,2nMeu6UenVvwUktBCpLMK9,2013-01-01,day,88
33,Harry Styles,As It Was,4Dvkj6JhhA12EX05fT7y2e,2022-05-20,day,95
34,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,day,89
35,Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,2017-05-12,day,85
36,Central Cee,Sprinter,2FDTHlrBguDzQkp7PVj16Q,2023-06-01,day,90
37,Central Cee,TOO MUCH,100fbGocyqbBPQkTDchi2g,2023-11-10,day,76
38,Central Cee,Doja,3LtpKP5abr2qqjunvjlX5i,2022-07-21,day,84
39,D-Block Europe,Prada,59NraMJsLaMCVtwXTSia8i,2023-08-11,day,94
40,D-Block Europe,Overseas,337kcYVjYXdLBItCw9ry3b,2021-11-19,day,73
41,D-Block Europe,Darling,2kQ9udZ0v3H8PFSVmbY1Kq,2019-09-27,day,72
42,Beyoncé,Crazy In Love (feat. Jay-Z),0TwBtDAWpkpM3srywFVOV5,2003-03-10,day,81
43,Beyoncé,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,2022-07-29,day,85
44,Beyoncé,Halo,2MfOcbtgz2yTsiznFmVZUN,2008-11-12,day,71
45,Travis Scott,Water - Remix,2Y4ImmYsxc4bclzGlmvlzo,2023-12-01,day,70
46,Travis Scott,I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,2023-07-28,day,92
